ID,Occupant,Address,City,State,ZipCode,FIPS,Phone,Publisher,Year
2010509146,NEW HAVEN CORP COUNSEL,165 CHURCH ST # 4,NEW HAVEN,CT,06510,09009,2039467958,InfoGroup,2010
2010509147,NEW HAVEN DEVELOPMENT ADM,165 CHURCH ST # 4R,NEW HAVEN,CT,06510,09009,2039467684,InfoGroup,2010
2010509148,NEW HAVEN DISABILITY SVC DEPT,165 CHURCH ST,NEW HAVEN,CT,06510,09009,2039468122,InfoGroup,2010
2010509149,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509150,NEW HAVEN ELDERLY SVC DEPT,165 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2039467854,InfoGroup,2010
2010509151,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509152,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509153,,330 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509154,NEW HAVEN FAIR RENT COMMISSION,165 CHURCH ST # 1,NEW HAVEN,CT,06510,09009,2039468156,InfoGroup,2010
2010509155,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884748,InfoGroup,2010
2010509156,SUBSTANCE ABUSE POLICY-PRVNTN,165 CHURCH ST,NEW HAVEN,CT,06510,09009,2039468445,InfoGroup,2010
2010509157,YALE MEDICAL GROUP,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509158,NEW HAVEN FINANCE DEPT,200 ORANGE ST # 1,NEW HAVEN,CT,06510,09009,2039468300,InfoGroup,2010
2010509159,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509160,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509161,NEW HAVEN VITAL STATISTICS,165 CHURCH ST # 6,NEW HAVEN,CT,06510,09009,2039468084,InfoGroup,2010
2010509162,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509163,LIVABLE CITY INITIATIVE,165 CHURCH ST # 3,NEW HAVEN,CT,06510,09009,2039467090,InfoGroup,2010
2010509164,CENTER FOR PSYCHOLOGICAL HLTH,234 CHURCH ST # 300,NEW HAVEN,CT,06510,09009,2035625877,InfoGroup,2010
2010509165,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509166,NEW HAVEN LEGISLATIVE SVC,165 CHURCH ST # 2-238,NEW HAVEN,CT,06510,09009,2039466483,InfoGroup,2010
2010509167,NEW HAVEN PENSION OFFICE,200 ORANGE ST # 1,NEW HAVEN,CT,06510,09009,2039468297,InfoGroup,2010
2010509168,NEW HAVEN HUMAN RESOURCES,200 ORANGE ST # 102,NEW HAVEN,CT,06510,09009,2039468252,InfoGroup,2010
2010509169,NEW HAVEN CIVIL SVC DEPT,200 ORANGE ST # 102,NEW HAVEN,CT,06510,09009,2039468252,InfoGroup,2010
2010509170,YALE NEW HAVEN HOSP DEPT,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509171,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036889907,InfoGroup,2010
2010509172,YALE PATHOLOGY,310 CEDAR ST # 208023,NEW HAVEN,CT,06510,09009,2037855486,InfoGroup,2010
2010509173,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509174,NEW HAVEN PURCHASES BUREAU,200 ORANGE ST # 301,NEW HAVEN,CT,06510,09009,2039468201,InfoGroup,2010
2010509175,,333 CEDAR ST # 3FMP,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509176,CITY PLAN DEPT,165 CHURCH ST # 5,NEW HAVEN,CT,06510,09009,2039467084,InfoGroup,2010
2010509177,NEW HAVEN TRAFFIC & PARKING,200 ORANGE ST # G3,NEW HAVEN,CT,06510,09009,2039468055,InfoGroup,2010
2010509178,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509179,NEW HAVEN WATER POLLUTION AUTH,129 CHURCH ST # 212,NEW HAVEN,CT,06510,09009,2039466408,InfoGroup,2010
2010509180,YALE-NEW HAVEN HOSPITAL,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509181,NEW HAVEN WORKERS COMPENSATION,200 ORANGE ST,NEW HAVEN,CT,06510,09009,2039468301,InfoGroup,2010
2010509182,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509183,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509184,US CIRCUIT COURT JUDGE,141 CHURCH ST,NEW HAVEN,CT,06510,09009,2037732291,InfoGroup,2010
2010509185,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509186,HONORABLE GUIDO CALABRESI,141 CHURCH ST,NEW HAVEN,CT,06510,09009,2037732291,InfoGroup,2010
2010509187,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509188,HONORABLE ELLEN B BURNS,141 CHURCH ST,NEW HAVEN,CT,06510,09009,2037732105,InfoGroup,2010
2010509189,HONORABLE PETER C DORSEY,141 CHURCH ST,NEW HAVEN,CT,06510,09009,2037732427,InfoGroup,2010
2010509190,,20 YORK ST # WP-143,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509191,US HEARINGS & APPEALS OFFICE,157 CHURCH ST # 22B,NEW HAVEN,CT,06510,09009,2037877771,InfoGroup,2010
2010509192,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2036887970,InfoGroup,2010
2010509193,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509194,POZZI ASSOCIATES,3 LINCOLN ST,NEW HAVEN,CT,06510,09009,2037777323,InfoGroup,2010
2010509195,CONNECTICUT PUBLIC TV & RADIO,70 AUDUBON ST # 2B,NEW HAVEN,CT,06510,09009,2037777506,InfoGroup,2010
2010509196,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509197,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509198,YALE NEW HAVEN HOSP DEPT,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509199,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509200,YALE NEW HAVEN HOSP DEPT,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509201,NEW HAVEN ADVOCATE,900 CHAPEL ST # 1100,NEW HAVEN,CT,06510,09009,2037890010,InfoGroup,2010
2010509202,PILOT PEN TOURNAMENT,900 CHAPEL ST # 622,NEW HAVEN,CT,06510,09009,2037767331,InfoGroup,2010
2010509203,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509204,YALE-NEW HAVEN HOSPITAL,20 YORK ST # 2041,NEW HAVEN,CT,06510,09009,2036884748,InfoGroup,2010
2010509205,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509206,YNH MEDICAL SVC PC,20 YORK ST # CB2041,NEW HAVEN,CT,06510,09009,2036884748,InfoGroup,2010
2010509207,,330 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509208,YALE NEW HAVEN HOSP DEPT,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509209,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509210,YALE NEW HAVEN HOSP DEPT,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509211,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509212,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509213,,37 TRUMBULL ST # 105,NEW HAVEN,CT,06510,09009,2037733560,InfoGroup,2010
2010509214,SALATTO REAL ESTATE,129 CHURCH ST # 820,NEW HAVEN,CT,06510,09009,2036242220,InfoGroup,2010
2010509215,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509216,CENTER FOR ORTHOPAEDICS,60 TEMPLE ST # 3B,NEW HAVEN,CT,06510,09009,2037523100,InfoGroup,2010
2010509217,YALE-NEW HAVEN CHILDREN'S HOSP,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2037854730,InfoGroup,2010
2010509218,YALE-NEW HAVEN HOSPITAL,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036882320,InfoGroup,2010
2010509219,CENTER FOR ORTHOPAEDICS,60 TEMPLE ST # 3B,NEW HAVEN,CT,06510,09009,2037523100,InfoGroup,2010
2010509220,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509221,YALE ANESTHESIOLOGY,60 TEMPLE ST,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509222,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509223,CHARLES & BONI-VENDOLA LLC,65 TRUMBULL ST # 1,NEW HAVEN,CT,06510,09009,2036242900,InfoGroup,2010
2010509224,,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509225,CARMODY & TORRANCE LLP,195 CHURCH ST # 1800,NEW HAVEN,CT,06510,09009,2037775501,InfoGroup,2010
2010509226,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509227,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509228,SPRINT,80 CHURCH ST,NEW HAVEN,CT,06510,09009,2037724059,InfoGroup,2010
2010509229,SUSAN L JACOBS LLC,129 WHITNEY AVE # 1,NEW HAVEN,CT,06510,09009,2037726680,InfoGroup,2010
2010509230,LO RICCO TROTTA & LO RICCO,216 CROWN ST # 502,NEW HAVEN,CT,06510,09009,2038653123,InfoGroup,2010
2010509231,LO RICCO TROTTA & LO RICCO,216 CROWN ST # 502,NEW HAVEN,CT,06510,09009,2038653123,InfoGroup,2010
2010509232,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037853715,InfoGroup,2010
2010509233,YNH MEDICAL SVC PC,20 YORK ST # 2041,NEW HAVEN,CT,06510,09009,2036884748,InfoGroup,2010
2010509234,YALE DIAGNOSTIC RADIOLOGY,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036882433,InfoGroup,2010
2010509235,,330 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509236,YALE NEW HAVEN CHILDREN'S HOSP,20 YORK ST,NEW HAVEN,CT,06510,09009,2036887970,InfoGroup,2010
2010509237,,240 BRADLEY ST # 1,NEW HAVEN,CT,06510,09009,2037773868,InfoGroup,2010
2010509238,YALE-NEW HAVEN GAMMA KNIFE CTR,40 TEMPLE ST,NEW HAVEN,CT,06510,09009,2037852808,InfoGroup,2010
2010509239,BLISS EXTERMINATOR CO,29 CHURCH ST,NEW HAVEN,CT,06510,09009,8604437697,InfoGroup,2010
2010509240,YALE UNIVERSITY MED SCHOOL,333 CEDAR ST # 3FMP,NEW HAVEN,CT,06510,09009,2037374068,InfoGroup,2010
2010509241,YALE DIGESTIVE DISEASES,40 TEMPLE ST # 1A,NEW HAVEN,CT,06510,09009,2037854138,InfoGroup,2010
2010509242,,62 TRUMBULL ST # 2,NEW HAVEN,CT,06510,09009,2037778044,InfoGroup,2010
2010509243,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509244,YALE PATHOLOGY,310 CEDAR ST,NEW HAVEN,CT,06510,09009,2037853624,InfoGroup,2010
2010509245,SHORT BEACH RIVER MARINA,BROWN RD,NEW HAVEN,CT,06510,09009,2038876360,InfoGroup,2010
2010509246,,330 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509247,YALE-NEW HAVEN HOSPITAL,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036882433,InfoGroup,2010
2010509248,,255 BRADLEY ST # 3,NEW HAVEN,CT,06510,09009,2036249381,InfoGroup,2010
2010509249,DUNHAM EDWARD WOOD,265 CHURCH ST,NEW HAVEN,CT,06510,09009,2034984327,InfoGroup,2010
2010509250,YALE GASTROINTESTINAL SURGERY,40 TEMPLE ST # 7A,NEW HAVEN,CT,06510,09009,2037649060,InfoGroup,2010
2010509251,WINNICK A,265 CHURCH ST,NEW HAVEN,CT,06510,09009,2034984541,InfoGroup,2010
2010509252,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509253,JACOBS ENGINEERING GROUP INC,310 ORANGE ST,NEW HAVEN,CT,06510,09009,2037716883,InfoGroup,2010
2010509254,YALE THERAPEUTIC RADIOLOGY,15 YORK ST # 1,NEW HAVEN,CT,06510,09009,2036881861,InfoGroup,2010
2010509255,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509256,YALE DERMATOLOGY LASER CTR,40 TEMPLE ST # 5A,NEW HAVEN,CT,06510,09009,2037853466,InfoGroup,2010
2010509257,YALE NEW HAVEN CHILDREN'S HOSP,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2037375970,InfoGroup,2010
2010509258,YALE DERMATOPATHOLOGY,15 YORK ST # LMP5031,NEW HAVEN,CT,06510,09009,2037854094,InfoGroup,2010
2010509259,YALE-NEW HAVEN HOSPITAL,20 YORK ST # 2041,NEW HAVEN,CT,06510,09009,2036884748,InfoGroup,2010
2010509260,CHAPEL SQUARE MALL,CHURCH & CHAPEL ST,NEW HAVEN,CT,06510,09009,2030001111,InfoGroup,2010
2010509261,YALE-NEW HAVEN CHILDREN'S HOSP,20 YORK ST,NEW HAVEN,CT,06510,09009,2037854651,InfoGroup,2010
2010509262,LITTLER MENDELSON PC,265 CHURCH ST # 300,NEW HAVEN,CT,06510,09009,2039748700,InfoGroup,2010
2010509263,SCOTTRADE,129 CHURCH ST,NEW HAVEN,CT,06510,09009,2037730122,InfoGroup,2010
2010509264,YALE ANESTHESIOLOGY,20 YORK ST # 3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509265,FASHION SHOWROOM,817 CHAPEL ST # 2C,NEW HAVEN,CT,06510,09009,2037723322,InfoGroup,2010
2010509266,YALE DIAGNOSTIC RADIOLOGY,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2036882433,InfoGroup,2010
2010509267,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509268,MATERIAL CONTROL,HALLOCK AVE,NEW HAVEN,CT,06510,09009,2037736140,InfoGroup,2010
2010509269,RICHARD KUSLAN LAW OFFICE,110 WHITNEY AVE,NEW HAVEN,CT,06510,09009,2035628808,InfoGroup,2010
2010509270,YALE UNIVERSITY-CNGSTVE HEART,135 COLLEGE ST # 3,NEW HAVEN,CT,06510,09009,2037854197,InfoGroup,2010
2010509271,JONG MORTGAGE GROUP LLC,900 CHAPEL ST # 620,NEW HAVEN,CT,06510,09009,2037730772,InfoGroup,2010
2010509272,,333 CEDAR ST # LCI-105,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509273,YALE PEDIATRICS,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2037854638,InfoGroup,2010
2010509274,,330 CEDAR ST,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509275,,219 BRADLEY ST,NEW HAVEN,CT,06510,09009,2037760700,InfoGroup,2010
2010509276,YALE SURGICAL PATHOLOGY,20 YORK ST # 2-607,NEW HAVEN,CT,06510,09009,2037856498,InfoGroup,2010
2010509277,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509278,UNITED ROOTS LLC,49 ORANGE ST,NEW HAVEN,CT,06510,09009,2037724009,InfoGroup,2010
2010509279,HOSPITAL OF ST RAPHAEL,1450 GEORGE ST,NEW HAVEN,CT,06510,09009,2037893151,InfoGroup,2010
2010509280,CONNECTICUT GASTROENTEROLOGY C,40 TEMPLE ST # 4A,NEW HAVEN,CT,06510,09009,2037770304,InfoGroup,2010
2010509281,,102 AUDUBON ST # 3,NEW HAVEN,CT,06510,09009,2037774777,InfoGroup,2010
2010509282,,41 TRUMBULL ST # 2,NEW HAVEN,CT,06510,09009,2037890401,InfoGroup,2010
2010509283,YALE PULMONARY MEDICINE,20 YORK ST,NEW HAVEN,CT,06510,09009,2037854198,InfoGroup,2010
2010509284,YALE-NEW HAVEN HOSPITAL,20 YORK ST # 3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509285,FLATH & ASSOC CONSULTING INC,38 TRUMBULL ST # 2,NEW HAVEN,CT,06510,09009,2037850297,InfoGroup,2010
2010509286,YALE EYE CTR,40 TEMPLE ST # 3B,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509287,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509288,YALE-NEW HAVEN HOSPITAL,20 YORK ST # T-3,NEW HAVEN,CT,06510,09009,2036884242,InfoGroup,2010
2010509289,YALE EMERGENCY MEDICINE,20 YORK ST # 218,NEW HAVEN,CT,06510,09009,2036882222,InfoGroup,2010
2010509290,YALE EYE CTR,40 TEMPLE ST # 3B,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509291,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509292,YALE NEUROLOGICAL GROUP,40 TEMPLE ST # 6C,NEW HAVEN,CT,06510,09009,2037854085,InfoGroup,2010
2010509293,YALE EYE CTR,40 TEMPLE ST # 3B,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509294,DEAN SAKAMOTO ARCHITECTS LLC,1 WHITNEY AVE # 202,NEW HAVEN,CT,06510,09009,2035625558,InfoGroup,2010
2010509295,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2037852593,InfoGroup,2010
2010509296,DEWBERRY,59 ELM ST # 101,NEW HAVEN,CT,06510,09009,2037762277,InfoGroup,2010
2010509297,YALE EYE CTR,40 TEMPLE ST # 3B,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509298,YALE NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,06510,09009,2036885555,InfoGroup,2010
2010509299,YALE-NEW HAVEN CHILDREN'S HOSP,20 YORK ST,NEW HAVEN,CT,06510,09009,2037852809,InfoGroup,2010
2010509300,YALE EYE CTR,40 TEMPLE ST # 3B,NEW HAVEN,CT,06510,09009,2037852020,InfoGroup,2010
2010509301,,900 CHAPEL ST,NEW HAVEN,CT,06510,09009,2037859000,InfoGroup,2010
2010509302,YALE PEDIATRIC RSPRTRY MDCN,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2037852480,InfoGroup,2010
2010509303,BIKRAM'S YOGA COLLEGE OF INDIA,59 ELM ST,NEW HAVEN,CT,06510,09009,2037850844,InfoGroup,2010
2010509304,YALE ANESTHESIOLOGY,20 YORK ST # 3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509305,NEW HAVEN TRAVEL SVC INC,195 CHURCH ST # 11,NEW HAVEN,CT,06510,09009,2037720060,InfoGroup,2010
2010509306,YALE EMERGENCY MEDICINE,20 YORK ST,NEW HAVEN,CT,06510,09009,2036882222,InfoGroup,2010
2010509307,ODD BINS BOTTLE SHOP,1 WHITNEY AVE,NEW HAVEN,CT,06510,09009,2035627714,InfoGroup,2010
2010509308,H PEARCE REAL ESTATE CO INC,32 WHITNEY AVE,NEW HAVEN,CT,06510,09009,2037761899,InfoGroup,2010
2010509309,YALE PEDIATRIC SPECIALTY,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2037852480,InfoGroup,2010
2010509310,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509311,TD BANK,2 WHITNEY AVE # 2,NEW HAVEN,CT,06510,09009,2037823601,InfoGroup,2010
2010509312,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509313,CHAPEL INVESTMENT,41 HIGH ST,NEW HAVEN,CT,06510,09009,2035629973,InfoGroup,2010
2010509314,ONE CENTURY TOWER,265 CHURCH ST # 200,NEW HAVEN,CT,06510,09009,2034980803,InfoGroup,2010
2010509315,YALE PEDIATRIC CARDIOLOGY,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2037852110,InfoGroup,2010
2010509316,KONOVER COMMERCIAL CORP,265 CHURCH ST # 200,NEW HAVEN,CT,06510,09009,2036244499,InfoGroup,2010
2010509317,EARLY LUDWICK SWEENEY STRAUSS,265 CHURCH ST # 1101,NEW HAVEN,CT,06510,09009,2037777799,InfoGroup,2010
2010509318,YALE-NEW HAVEN HOSPITAL,20 YORK ST # 2041,NEW HAVEN,CT,06510,09009,2036884748,InfoGroup,2010
2010509319,PEOPLE'S UNITED BANK,265 CHURCH ST # 104,NEW HAVEN,CT,06510,09009,2037859119,InfoGroup,2010
2010509320,MEDICAL ONCOLOGY-HEMATOLOGY PC,60 TEMPLE ST # 9C,NEW HAVEN,CT,06510,09009,2037892050,InfoGroup,2010
2010509321,,333 CEDAR ST # 307FMP,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
2010509322,EARLY LUDWICK SWEENEY STRAUSS,265 CHURCH ST # 1101,NEW HAVEN,CT,06510,09009,2037777799,InfoGroup,2010
2010509323,YALE PEDIATRIC CRTCL CARE MDCN,20 YORK ST # 2,NEW HAVEN,CT,06510,09009,2037854651,InfoGroup,2010
2010509324,DEPARTMENT OF ANESTHIOLOGY,333 CEDAR ST # TMP3,NEW HAVEN,CT,06510,09009,2037852802,InfoGroup,2010
